,Material,name,Hex,Hex_primary,rgb
86,Solid,Lilac,564E9D,#564E9D,"(86, 78, 157)"
87,Solid,Light Lilac,9195CA,#9195CA,"(145, 149, 202)"
88,Solid,Bright Purple,D3359D,#D3359D,"(211, 53, 157)"
89,Solid,Light Purple,FF9ECD,#FF9ECD,"(255, 158, 205)"
90,Solid,Light Pink,F17880,#F17880,"(241, 120, 128)"
91,Solid,Light Brick Yellow,F3C988,#F3C988,"(243, 201, 136)"
92,Solid,Warm Yellowish Orange,FAA964,#FAA964,"(250, 169, 100)"
93,Solid,Cool Yellow,FFEC6C,#FFEC6C,"(255, 236, 108)"
94,Solid,Dove Blue,77C9D8,#77C9D8,"(119, 201, 216)"
95,Solid,Light Faded Green,60BA76,#60BA76,"(96, 186, 118)"
96,Solid,Medium Lilac,441A91,#441A91,"(68, 26, 145)"
97,Solid,Tiny-Medium Blue,3E95B6,#3E95B6,"(62, 149, 182)"
98,Solid,Light Nougat,FFC995,#FFC995,"(255, 201, 149)"
99,Solid,Flamingo Pink,FF94C2,#FF94C2,"(255, 148, 194)"
100,Solid,Dark Brown,372100,#372100,"(55, 33, 0)"
101,Solid,Medium Nougat,AA7D55,#AA7D55,"(170, 125, 85)"
102,Solid,Dark Azur,469BC3,#469BC3,"(70, 155, 195)"
103,Solid,Medium Azur,68C3E2,#68C3E2,"(104, 195, 226)"
104,Solid,Aqua,D3F2EA,#D3F2EA,"(211, 242, 234)"
105,Solid,Medium Lavender,A06EB9,#A06EB9,"(160, 110, 185)"
106,Solid,Lavender,CDA4DE,#CDA4DE,"(205, 164, 222)"
107,Solid,Spring Yellowish Green,E2F99A,#E2F99A,"(226, 249, 154)"
108,Solid,Olive Green,77774E,#77774E,"(119, 119, 78)"
